"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"398","Divestment","Full","Quixote Foundation","Philanthropic Foundation","USA","Seattle","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"399","Divestment","Full","Randwick City Council","Government","Australia","Randwick","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"400","Divestment","Partial","Religious Society of Friends in Australia","Faith-based Organization","Australia","Surry Hills","http://www.probonoaustralia.com.au/news/2015/01/quakers-divest-%E2%80%98big-four%E2%80%99-banks#
 http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"401","Divestment","Full","Rhode Island School of Design","Educational Institution","USA","Providence","http://www.ecori.org/green-groups/2015/6/1/risd-to-divest-from-fossil-fuel-companies"
"402","Divestment","Full","Robert Treat Paine Association","Philanthropic Foundation","USA","--","--"
"403","Divestment","Full","Rockefeller Brothers Fund","Philanthropic Foundation","USA","New York","https://scontent-2.2914.fna.fbcdn.net/hphotos-xpa1/v/t1.0-9/10351672_372010546283305_4012266220458418203_n.jpg?oh=af1c3dd9cb258e199ac8410c9d60022f&oe=555D86A1"
"404","Divestment","Full","ROS Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"405","Divestment","Full","Rose Foundation for Communities and the Environment","Philanthropic Foundation","USA","Oakland","--"
"406","Divestment","Full","Roskilde Municipality","Government","Denmark","Roskilde","http://politiken.dk/oekonomi/2050/klima/ECE2864462/roskilde-vraenger-naese-ad-olie-og-kul-og-gaar-ind-i-global-klimakamp/"
"407","Divestment","Full","Ross Knowles Super Fund","Pension Fund","Australia","--","--"
"408","Divestment","Full","Royal Australasian College of Physicians","Healthcare Institution","Australia","Sydney","http://www.racp.edu.au/page/news/announcement&announcementid=AD5DAD95-0CF6-8D31-318A4ACFDA751A76#fuel"
"409","Divestment","Full","RS Group","For Profit Corporation","Hong Kong","Wanchai","--"
"410","Divestment","Full","Rubblestone Foundation","Philanthropic Foundation","USA","--","http://divestinvest.org/philanthropy/#/signatories/rubblestone-foundation"
"411","Divestment","Full","Rusbourne Private Superannuation Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"412","Divestment","Full","Russell Family Foundation","Philanthropic Foundation","USA","Gig Harbor","http://divestinvest.org/philanthropy/#/signatories/the-russell-family-foundation"
"413","Divestment","Full","Sainsbury Ashden Trust","Philanthropic Foundation","UK","London","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"414","Divestment","Full","Saint Paul Area Synod – Evangelical Lutheran Church of America","Faith-based Organization","USA","St. Paul","http://www.spas-elca.org/sites/default/files/spas-pre-assembly-bulletin-2015.pdf"
"415","Divestment","Full","Samuel Rubin Foundation","Philanthropic Foundation","USA","Cambridge","--"
"416","Divestment","Coal and Tar Sands Only","San Francisco State University Foundation","Educational Institution","USA","San Francisco","--"
"417","Divestment","Full","Santa Clara Valley Water District","Government","USA","San Jose","--"
"418","Divestment","Full","Santa Fe Art Institute","NGO","USA","Santa Fe","--"
"419","Divestment","Full","Scarboro Missions, ON","Faith-based Organization","Canada","Scarborough","http://www.kairoscanada.org/wp-content/uploads/2015/04/Briefing-Paper-41.pdf"
"420","Divestment","Full","Schmidt Family Foundation","Philanthropic Foundation","USA","Palo Alto","--"
